junction_id,connection_id,issue,detail
950,2,connector_end_pose_mismatch,3.5
951,4,connector_start_pose_mismatch,3.5
951,4,connector_end_pose_mismatch,3.5
952,7,connector_start_pose_mismatch,3.5
952,7,connector_end_pose_mismatch,3.5
953,0,connector_start_pose_mismatch,3.500001
953,3,connector_end_pose_mismatch,3.5
953,4,connector_start_pose_mismatch,3.5
953,4,connector_end_pose_mismatch,3.5
954,2,connector_start_pose_mismatch,3.500001
954,2,connector_end_pose_mismatch,3.5
954,5,connector_start_pose_mismatch,3.5
954,5,connector_end_pose_mismatch,3.5
954,8,connector_start_pose_mismatch,3.5
954,8,connector_end_pose_mismatch,3.5
955,4,connector_start_pose_mismatch,3.5
955,4,connector_end_pose_mismatch,3.5
955,7,connector_start_pose_mismatch,3.5
955,7,connector_end_pose_mismatch,3.5
956,2,connector_start_pose_mismatch,3.500001
956,2,connector_end_pose_mismatch,3.5
956,8,connector_start_pose_mismatch,3.5
956,8,connector_end_pose_mismatch,3.5
957,4,connector_start_pose_mismatch,3.5
957,4,connector_end_pose_mismatch,3.500001
958,13,connector_start_pose_mismatch,3.5
958,13,connector_end_pose_mismatch,3.5
93,1,connector_start_pose_mismatch,3.500001
93,1,connector_end_pose_mismatch,3.5
959,4,connector_start_pose_mismatch,3.499999
959,4,connector_end_pose_mismatch,3.5
960,2,connector_start_pose_mismatch,3.5
960,2,connector_end_pose_mismatch,3.5
960,5,connector_start_pose_mismatch,3.5
960,5,connector_end_pose_mismatch,3.5
961,6,connector_start_pose_mismatch,3.5
961,6,connector_end_pose_mismatch,3.499999
961,10,connector_start_pose_mismatch,3.5
961,10,connector_end_pose_mismatch,3.5
962,6,connector_start_pose_mismatch,3.5
962,6,connector_end_pose_mismatch,3.500001
964,9,connector_start_pose_mismatch,3.5
964,9,connector_end_pose_mismatch,3.5
964,13,connector_start_pose_mismatch,3.5
964,13,connector_end_pose_mismatch,3.5
965,3,connector_start_pose_mismatch,3.5
965,3,connector_end_pose_mismatch,3.5
965,7,connector_start_pose_mismatch,3.500001
965,7,connector_end_pose_mismatch,3.499999
966,3,connector_start_pose_mismatch,3.500001
966,3,connector_end_pose_mismatch,3.5
966,10,connector_start_pose_mismatch,3.5
966,10,connector_end_pose_mismatch,3.5
966,14,connector_start_pose_mismatch,3.5
966,14,connector_end_pose_mismatch,3.5
94,2,connector_start_pose_mismatch,3.500001
94,2,connector_end_pose_mismatch,3.5
94,7,connector_start_pose_mismatch,3.5
94,7,connector_end_pose_mismatch,3.5
969,3,connector_start_pose_mismatch,3.499999
969,3,connector_end_pose_mismatch,3.500001
969,4,connector_end_pose_mismatch,3.5
969,6,connector_start_pose_mismatch,3.5
969,6,connector_end_pose_mismatch,3.5
969,7,connector_start_pose_mismatch,3.5
970,0,connector_start_pose_mismatch,3.5
970,0,connector_end_pose_mismatch,3.5
971,0,connector_start_pose_mismatch,3.500001
971,4,connector_start_pose_mismatch,3.5
971,6,connector_end_pose_mismatch,3.500001
971,7,connector_end_pose_mismatch,3.5
971,9,connector_start_pose_mismatch,3.5
971,9,connector_end_pose_mismatch,3.5
