road_id,relation,elementType,elementId,source_contact,target_contact,xy_gap_m,hdg_gap_deg,z_gap_m,issue
42390,predecessor,junction,102,start,,,,,non_road_link
42390,successor,junction,100,end,,,,,non_road_link
42391,predecessor,junction,101,start,,,,,non_road_link
42391,successor,junction,103,end,,,,,non_road_link
42392,predecessor,junction,103,start,,,,,non_road_link
42392,successor,junction,104,end,,,,,non_road_link
42393,predecessor,junction,105,start,,,,,non_road_link
42393,successor,junction,106,end,,,,,non_road_link
42394,predecessor,junction,107,start,,,,,non_road_link
42394,successor,junction,108,end,,,,,non_road_link
42395,predecessor,junction,109,start,,,,,non_road_link
42395,successor,junction,110,end,,,,,non_road_link
42396,predecessor,junction,111,start,,,,,non_road_link
42396,successor,junction,112,end,,,,,non_road_link
42397,predecessor,junction,113,start,,,,,non_road_link
42397,successor,junction,111,end,,,,,non_road_link
42398,predecessor,junction,114,start,,,,,non_road_link
42398,successor,junction,115,end,,,,,non_road_link
42399,predecessor,junction,116,start,,,,,non_road_link
42399,successor,junction,117,end,,,,,non_road_link
42400,predecessor,junction,118,start,,,,,non_road_link
42400,successor,junction,119,end,,,,,non_road_link
42401,predecessor,junction,120,start,,,,,non_road_link
42401,successor,junction,121,end,,,,,non_road_link
42402,predecessor,junction,122,start,,,,,non_road_link
42402,successor,junction,123,end,,,,,non_road_link
42403,predecessor,junction,124,start,,,,,non_road_link
42403,successor,junction,125,end,,,,,non_road_link
42404,predecessor,junction,126,start,,,,,non_road_link
42404,successor,junction,114,end,,,,,non_road_link
42405,predecessor,junction,117,start,,,,,non_road_link
42405,successor,junction,127,end,,,,,non_road_link
42406,predecessor,junction,128,start,,,,,non_road_link
42406,successor,junction,129,end,,,,,non_road_link
42407,predecessor,junction,130,start,,,,,non_road_link
42407,successor,junction,131,end,,,,,non_road_link
42408,predecessor,junction,132,start,,,,,non_road_link
42408,successor,junction,133,end,,,,,non_road_link
42409,predecessor,junction,134,start,,,,,non_road_link
42409,successor,junction,132,end,,,,,non_road_link
42410,predecessor,junction,135,start,,,,,non_road_link
42410,successor,junction,136,end,,,,,non_road_link
42411,predecessor,junction,137,start,,,,,non_road_link
42411,successor,junction,138,end,,,,,non_road_link
42412,predecessor,junction,139,start,,,,,non_road_link
42412,successor,junction,140,end,,,,,non_road_link
42413,predecessor,junction,141,start,,,,,non_road_link
42413,successor,junction,77,end,,,,,non_road_link
42414,predecessor,junction,77,start,,,,,non_road_link
42414,successor,junction,142,end,,,,,non_road_link
42415,predecessor,junction,143,start,,,,,non_road_link
42415,successor,junction,144,end,,,,,non_road_link
42416,predecessor,junction,144,start,,,,,non_road_link
42416,successor,junction,145,end,,,,,non_road_link
42417,predecessor,junction,107,start,,,,,non_road_link
42417,successor,junction,105,end,,,,,non_road_link
42418,predecessor,junction,146,start,,,,,non_road_link
42418,successor,junction,147,end,,,,,non_road_link
42419,predecessor,junction,148,start,,,,,non_road_link
42419,successor,junction,149,end,,,,,non_road_link
42420,predecessor,junction,150,start,,,,,non_road_link
42420,successor,junction,148,end,,,,,non_road_link
42421,predecessor,junction,151,start,,,,,non_road_link
42421,successor,junction,152,end,,,,,non_road_link
42422,predecessor,junction,153,start,,,,,non_road_link
42422,successor,junction,151,end,,,,,non_road_link
42423,predecessor,junction,154,start,,,,,non_road_link
42423,successor,junction,155,end,,,,,non_road_link
42424,predecessor,junction,156,start,,,,,non_road_link
42424,successor,junction,154,end,,,,,non_road_link
42425,predecessor,junction,157,start,,,,,non_road_link
42425,successor,junction,158,end,,,,,non_road_link
42426,predecessor,junction,159,start,,,,,non_road_link
42426,successor,junction,160,end,,,,,non_road_link
42427,predecessor,junction,161,start,,,,,non_road_link
42427,successor,junction,160,end,,,,,non_road_link
42428,predecessor,junction,162,start,,,,,non_road_link
42428,successor,junction,163,end,,,,,non_road_link
42429,predecessor,junction,164,start,,,,,non_road_link
42429,successor,junction,165,end,,,,,non_road_link
42430,predecessor,junction,155,start,,,,,non_road_link
42430,successor,junction,166,end,,,,,non_road_link
42431,predecessor,junction,167,start,,,,,non_road_link
42431,successor,junction,168,end,,,,,non_road_link
42432,predecessor,junction,169,start,,,,,non_road_link
42432,successor,junction,170,end,,,,,non_road_link
42433,predecessor,junction,171,start,,,,,non_road_link
42433,successor,junction,172,end,,,,,non_road_link
42434,predecessor,junction,172,start,,,,,non_road_link
42434,successor,junction,171,end,,,,,non_road_link
42435,predecessor,junction,173,start,,,,,non_road_link
42436,predecessor,junction,174,start,,,,,non_road_link
42436,successor,junction,175,end,,,,,non_road_link
42437,predecessor,junction,176,start,,,,,non_road_link
42437,successor,junction,174,end,,,,,non_road_link
42438,predecessor,junction,177,start,,,,,non_road_link
42438,successor,junction,178,end,,,,,non_road_link
42439,predecessor,junction,179,start,,,,,non_road_link
42439,successor,junction,177,end,,,,,non_road_link
42440,predecessor,junction,180,start,,,,,non_road_link
42440,successor,junction,179,end,,,,,non_road_link
42441,predecessor,junction,175,start,,,,,non_road_link
42441,successor,junction,180,end,,,,,non_road_link
42442,predecessor,junction,181,start,,,,,non_road_link
42442,successor,junction,182,end,,,,,non_road_link
42443,predecessor,junction,183,start,,,,,non_road_link
42443,successor,junction,184,end,,,,,non_road_link
42444,successor,junction,185,end,,,,,non_road_link
42445,predecessor,junction,186,start,,,,,non_road_link
42445,successor,junction,187,end,,,,,non_road_link
42446,predecessor,junction,188,start,,,,,non_road_link
42446,successor,junction,189,end,,,,,non_road_link
42447,predecessor,junction,190,start,,,,,non_road_link
42447,successor,junction,191,end,,,,,non_road_link
42448,successor,junction,192,end,,,,,non_road_link
42449,predecessor,junction,193,start,,,,,non_road_link
42449,successor,junction,194,end,,,,,non_road_link
42450,predecessor,junction,195,start,,,,,non_road_link
42450,successor,junction,196,end,,,,,non_road_link
42451,predecessor,junction,197,start,,,,,non_road_link
42451,successor,junction,198,end,,,,,non_road_link
42452,predecessor,junction,199,start,,,,,non_road_link
42452,successor,junction,200,end,,,,,non_road_link
42453,predecessor,junction,201,start,,,,,non_road_link
42453,successor,junction,202,end,,,,,non_road_link
42454,predecessor,junction,203,start,,,,,non_road_link
42454,successor,junction,204,end,,,,,non_road_link
42455,predecessor,junction,197,start,,,,,non_road_link
42455,successor,junction,201,end,,,,,non_road_link
