source_road,target_road,distance_m,heading_diff,reason
44627,50313,9.14,39.78,heading_incompatible (39.8° > 15.0°)
44522,70390,11.9,15.09,heading_incompatible (15.1° > 15.0°)
43101,66481,6.24,70.35,heading_incompatible (70.4° > 15.0°)
44882,55136,6.26,154.54,heading_incompatible (154.5° > 15.0°)
43545,67080,11.84,108.99,heading_incompatible (109.0° > 15.0°)
39958,68966,12.99,69.02,heading_incompatible (69.0° > 15.0°)
43916,68700,5.95,19.6,heading_incompatible (19.6° > 15.0°)
42070,61454,22.27,174.47,distance_exceeded (22.3m > 15.0m); heading_incompatible (174.5° > 15.0°)
47408,63113,19.07,97.01,distance_exceeded (19.1m > 15.0m); heading_incompatible (97.0° > 15.0°)
41125,54228,38.2,0.0,distance_exceeded (38.2m > 15.0m)
44386,58522,15.4,0.0,distance_exceeded (15.4m > 15.0m)
45883,53891,28.31,101.98,distance_exceeded (28.3m > 15.0m); heading_incompatible (102.0° > 15.0°)
47383,63011,0.2,17.11,heading_incompatible (17.1° > 15.0°)
46642,59297,27.96,14.26,distance_exceeded (28.0m > 15.0m)
45089,67408,13.24,23.61,heading_incompatible (23.6° > 15.0°)
42498,71885,30.02,171.19,distance_exceeded (30.0m > 15.0m); heading_incompatible (171.2° > 15.0°)
47198,62278,12.88,33.85,heading_incompatible (33.8° > 15.0°)
42377,62842,20.09,173.79,distance_exceeded (20.1m > 15.0m); heading_incompatible (173.8° > 15.0°)
49267,60254,0.2,127.75,heading_incompatible (127.7° > 15.0°)
49087,65417,0.47,74.36,heading_incompatible (74.4° > 15.0°)
46558,58637,26.16,113.23,distance_exceeded (26.2m > 15.0m); heading_incompatible (113.2° > 15.0°)
40945,52689,0.2,21.33,heading_incompatible (21.3° > 15.0°)
40077,72329,34.59,0.0,distance_exceeded (34.6m > 15.0m)
46973,61477,28.15,25.47,distance_exceeded (28.1m > 15.0m); heading_incompatible (25.5° > 15.0°)
41555,69425,23.68,0.0,distance_exceeded (23.7m > 15.0m)
44620,69089,7.56,51.69,heading_incompatible (51.7° > 15.0°)
45797,54742,39.42,82.71,distance_exceeded (39.4m > 15.0m); heading_incompatible (82.7° > 15.0°)
44078,54843,10.04,121.92,heading_incompatible (121.9° > 15.0°)
41441,59887,11.61,118.42,heading_incompatible (118.4° > 15.0°)
44145,50589,0.24,98.94,heading_incompatible (98.9° > 15.0°)
45390,56653,0.2,122.76,heading_incompatible (122.8° > 15.0°)
46744,59929,22.26,0.0,distance_exceeded (22.3m > 15.0m)
45551,61343,14.69,102.64,heading_incompatible (102.6° > 15.0°)
46350,55988,22.14,171.13,distance_exceeded (22.1m > 15.0m); heading_incompatible (171.1° > 15.0°)
46435,57982,5.4,124.6,heading_incompatible (124.6° > 15.0°)
48668,58506,20.14,27.6,distance_exceeded (20.1m > 15.0m); heading_incompatible (27.6° > 15.0°)
44788,65754,0.56,148.53,heading_incompatible (148.5° > 15.0°)
40592,70443,0.2,75.62,heading_incompatible (75.6° > 15.0°)
40291,51702,18.11,125.39,distance_exceeded (18.1m > 15.0m); heading_incompatible (125.4° > 15.0°)
43834,72384,6.53,150.76,heading_incompatible (150.8° > 15.0°)
41559,51004,23.03,101.32,distance_exceeded (23.0m > 15.0m); heading_incompatible (101.3° > 15.0°)
41974,60683,5.77,157.42,heading_incompatible (157.4° > 15.0°)
44079,67993,8.34,119.79,heading_incompatible (119.8° > 15.0°)
44096,58615,10.42,78.1,heading_incompatible (78.1° > 15.0°)
40908,52460,8.14,84.64,heading_incompatible (84.6° > 15.0°)
49497,52739,16.09,0.0,distance_exceeded (16.1m > 15.0m)
49397,68993,20.11,1.75,distance_exceeded (20.1m > 15.0m)
46554,58665,14.72,156.59,heading_incompatible (156.6° > 15.0°)
48125,50335,42.15,97.78,distance_exceeded (42.1m > 15.0m); heading_incompatible (97.8° > 15.0°)
40022,49796,7.33,120.92,heading_incompatible (120.9° > 15.0°)
48664,59913,11.04,23.54,heading_incompatible (23.5° > 15.0°)
46364,51225,22.57,178.83,distance_exceeded (22.6m > 15.0m); heading_incompatible (178.8° > 15.0°)
44450,70167,14.23,153.79,heading_incompatible (153.8° > 15.0°)
44010,59656,13.61,172.14,heading_incompatible (172.1° > 15.0°)
46545,58540,44.27,0.0,distance_exceeded (44.3m > 15.0m)
48195,53550,0.2,33.01,heading_incompatible (33.0° > 15.0°)
42189,71185,5.64,145.24,heading_incompatible (145.2° > 15.0°)
47155,57101,12.38,161.0,heading_incompatible (161.0° > 15.0°)
45553,61328,25.65,73.48,distance_exceeded (25.7m > 15.0m); heading_incompatible (73.5° > 15.0°)
45094,69683,8.7,36.47,heading_incompatible (36.5° > 15.0°)
41277,55646,0.71,89.75,heading_incompatible (89.7° > 15.0°)
43590,64607,1.32,141.31,heading_incompatible (141.3° > 15.0°)
43271,69639,0.2,74.45,heading_incompatible (74.5° > 15.0°)
40011,53079,2.56,105.86,heading_incompatible (105.9° > 15.0°)
42356,50928,30.28,38.99,distance_exceeded (30.3m > 15.0m); heading_incompatible (39.0° > 15.0°)
41026,67879,16.64,0.1,distance_exceeded (16.6m > 15.0m)
46891,71699,0.2,78.74,heading_incompatible (78.7° > 15.0°)
44675,69837,13.04,148.14,heading_incompatible (148.1° > 15.0°)
41212,53790,5.72,89.89,heading_incompatible (89.9° > 15.0°)
39921,69291,5.95,156.56,heading_incompatible (156.6° > 15.0°)
45481,69606,22.95,8.19,distance_exceeded (22.9m > 15.0m)
40134,66900,12.29,91.93,heading_incompatible (91.9° > 15.0°)
44790,58843,34.45,67.11,distance_exceeded (34.4m > 15.0m); heading_incompatible (67.1° > 15.0°)
46121,55651,39.82,89.75,distance_exceeded (39.8m > 15.0m); heading_incompatible (89.7° > 15.0°)
41500,56001,37.39,6.75,distance_exceeded (37.4m > 15.0m)
41789,68269,4.08,93.36,heading_incompatible (93.4° > 15.0°)
43813,58006,9.83,161.97,heading_incompatible (162.0° > 15.0°)
41826,66005,29.71,12.12,distance_exceeded (29.7m > 15.0m)
47114,62153,5.05,142.42,heading_incompatible (142.4° > 15.0°)
47763,64983,41.91,176.77,distance_exceeded (41.9m > 15.0m); heading_incompatible (176.8° > 15.0°)
44852,50075,19.26,81.08,distance_exceeded (19.3m > 15.0m); heading_incompatible (81.1° > 15.0°)
43420,63233,41.01,179.12,distance_exceeded (41.0m > 15.0m); heading_incompatible (179.1° > 15.0°)
46390,52370,0.2,87.67,heading_incompatible (87.7° > 15.0°)
48939,50100,9.26,92.73,heading_incompatible (92.7° > 15.0°)
47244,62443,36.92,4.8,distance_exceeded (36.9m > 15.0m)
44583,50840,30.35,35.19,distance_exceeded (30.3m > 15.0m); heading_incompatible (35.2° > 15.0°)
46195,56077,47.07,101.67,distance_exceeded (47.1m > 15.0m); heading_incompatible (101.7° > 15.0°)
40891,55180,46.82,0.0,distance_exceeded (46.8m > 15.0m)
47559,61815,25.8,101.64,distance_exceeded (25.8m > 15.0m); heading_incompatible (101.6° > 15.0°)
44914,50766,24.02,159.7,distance_exceeded (24.0m > 15.0m); heading_incompatible (159.7° > 15.0°)
44588,50614,0.2,52.82,heading_incompatible (52.8° > 15.0°)
46856,61588,29.3,53.71,distance_exceeded (29.3m > 15.0m); heading_incompatible (53.7° > 15.0°)
42876,49865,4.29,148.87,heading_incompatible (148.9° > 15.0°)
43228,70102,20.07,0.0,distance_exceeded (20.1m > 15.0m)
49598,64898,2.11,120.11,heading_incompatible (120.1° > 15.0°)
45428,66874,0.78,72.21,heading_incompatible (72.2° > 15.0°)
49428,51581,0.2,62.08,heading_incompatible (62.1° > 15.0°)
43344,60308,0.2,98.47,heading_incompatible (98.5° > 15.0°)
